State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
PA,163,806,403-2562,no,yes,300,8.1622040217391,3,7.579173703343681,3.9330349941938634,4,6.508638877091394,4.065759457683862,100,5.1116239145545554,4.9281602056057885,6,5.673203040696216,3,True.
WY,146,878,450-4942,yes,no,0,2.696177237539812,3,5.908915868906159,6.015337072056723,3,3.670407748359811,3.751673372296208,250,2.7968119977118326,6.905545285710016,4,7.134342911307563,6,True.
MO,195,777,249-5723,yes,no,0,5.811115761837079,6,4.3310650166800375,8.104126146210893,2,4.475034292704634,4.208352014531881,250,5.974575349503846,4.750152912633531,7,3.320310789878026,7,True.
RI,78,827,276-8625,yes,no,0,6.872939363798926,2,6.5341573444396674,3.696520173780587,2,5.826586241705807,3.497215843772744,150,6.71005192333686,6.194516763474683,4,3.0729145982225017,7,True.
PA,150,806,610-2756,yes,no,0,8.735239799298267,3,5.607474258959999,6.959893299031696,1,8.167985577053265,2.839336261311169,150,5.14919227584111,5.342917777959637,6,8.14319563456564,4,True.
ND,114,786,968-6867,yes,yes,300,6.215980906905121,4,6.705125866787917,5.839379502770306,4,4.240211918717716,2.700893798451043,250,7.533492315865429,5.491468774700732,5,0.4706450916087448,8,True.
MS,114,778,756-1787,no,no,0,3.33326866677303,3,4.888256309224817,4.779260734136049,1,4.864775249744062,2.849921550401593,200,5.2064216516958215,4.59893792484026,3,4.771388460229753,8,True.
WY,48,878,889-7926,yes,yes,100,9.81381371194712,3,7.7594092909373025,8.670985701133528,3,6.47273217608288,4.728587845392953,250,6.254585699182173,4.284906030801764,5,5.661948755658884,5,True.
NY,142,788,248-9207,yes,no,0,0.6316071077050864,4,0.8173635604465206,4.399597542539205,0,2.0244823189277863,3.1565048711756205,200,6.124743096828062,5.644293002568544,3,1.532017351647959,10,True.
ID,124,736,199-4929,yes,no,0,6.350164019046546,6,5.278668210534139,6.174900893663558,4,5.825235277171927,5.097930527525358,150,5.931793350051733,4.88224683079949,3,5.57614618121556,6,True.
IL,128,737,247-5360,no,no,0,3.2550260057392064,3,6.437929879718987,7.138773608862693,4,3.0317209989668266,2.8516251277536373,300,5.172175164622674,4.161727937260725,4,3.922241844044266,7,True.
CA,14,676,641-1882,no,no,0,5.435168039320978,1,5.036441163307671,7.246933156187814,0,6.213823231242487,2.978703791840494,300,5.50635545725558,4.740097542059825,3,6.964495185700439,7,True.
UT,73,858,890-5917,no,no,0,6.216594914025653,1,6.043934742039742,6.767937272752175,1,6.510837217038588,0.9421852356514516,250,6.157013719683593,4.927917533039962,4,4.677666600124117,8,True.
MI,143,777,991-1739,yes,yes,600,1.2466114016933831,4,1.4957363458297015,5.669159748016573,1,0.9511603895821636,2.966821079271422,300,5.039623065819295,4.501992319425723,5,1.198848166070912,9,True.
UT,148,858,754-4268,yes,no,0,7.928084860857355,5,7.582889096614353,5.913302541250602,8,4.682967316623008,6.362098325484785,150,5.806430872170045,5.980888870505748,5,4.09259319893667,5,True.
IN,92,737,472-5869,no,yes,100,9.195333229838786,5,8.042031436078107,7.025432160347826,6,5.627695233646336,5.111198964103979,150,6.792773030574051,5.269097609584986,4,4.13693639744205,6,True.
OK,109,797,602-8582,yes,no,0,6.098997432142786,3,6.550541704357053,5.545089708918695,3,4.7402489240034535,3.625898020089324,150,5.626169433484641,4.47029809610385,5,4.365907870125181,6,True.
FL,102,707,498-2586,yes,yes,300,6.8869587565211,4,5.450731583782601,6.78414397897008,2,5.9694814558127245,4.771412461092623,200,5.304812724159096,3.900654293551969,4,6.056516071886884,5,True.
MS,116,778,856-1759,yes,yes,900,0.2329748788356447,4,0.7862428676320681,4.656514488997503,4,4.1470372995602425,3.171589744235411,200,4.950855525301901,6.3522944008224815,5,4.184588778538736,8,True.
CO,22,677,995-3527,no,no,0,6.658794971784241,3,3.036286186295054,4.710954496734489,2,6.308353807622986,4.202892839396219,50,6.194778376258047,3.821381013750992,6,4.5215942359506425,6,True.
NJ,131,787,506-6419,yes,no,0,8.17955275582818,2,5.527149546739493,7.9246943412874895,0,6.84422981508204,4.32757551604622,250,5.012862198818425,3.9546083157919942,6,7.497076097632155,4,True.
HI,30,727,702-2075,yes,no,0,2.429008557606525,5,3.5658528400884157,3.486258509076419,3,4.227181169043268,4.141923142422677,200,5.006021041848558,4.806887688235865,4,4.036672666744859,7,True.
IA,183,736,173-7070,no,yes,400,2.906097296988196,3,6.146874260044555,4.840673560467556,4,1.931543256267675,2.458387374028084,200,5.540915253800776,6.161458936957513,6,0.4618009349042093,9,True.
OK,103,797,836-8346,yes,no,0,9.031011876727105,3,6.445067461029254,4.841926376493538,1,7.415940572526293,3.538113245949113,100,7.2184756106561725,7.830561973188805,4,3.977537796340507,6,True.
NE,193,786,158-3166,yes,no,0,9.535598125830724,3,6.798021995949748,6.385195353529206,1,7.363107732490805,3.421205000667425,150,5.988018165805749,6.608776119720741,6,6.016649772142417,4,True.
SD,1,836,390-1778,no,yes,200,6.7479647921691805,1,3.754982519091856,4.334110125714715,2,6.262846668619481,2.705958299145542,150,8.087162268580043,4.886504749981449,4,1.4523635055066944,9,True.
NJ,32,787,594-3893,no,no,0,8.26311395042271,3,7.825799299288863,7.174285892857583,0,5.919762442570004,1.1671007574160472,150,5.951720827066801,4.626634123796675,7,3.658206071661115,7,True.
SC,163,836,303-7889,yes,yes,200,9.168640588550767,5,8.855976308668046,4.370087573909601,6,3.971648272654906,3.758675893018599,0,7.625976433427974,4.848048035941706,8,0.8445899312784002,7,True.
OH,41,797,791-2794,yes,no,0,5.333009627955003,3,6.844404067191586,5.256013969213437,3,3.3401263724058694,2.0563879709504302,250,7.020042613149759,5.726680766058097,6,0.1312410570186575,8,True.
MT,4,778,138-4081,no,no,0,8.962360898832417,3,7.781911628502502,4.55895697701474,3,7.804408968139584,4.894176243451975,100,5.253919177634116,6.366489654278071,2,7.3434211550485955,5,True.
DE,154,686,919-1059,no,no,0,11.859669056178786,4,7.423684893467756,3.999807051171444,2,8.703714602314436,4.471373142619648,0,7.253944878663068,4.880031442525346,5,4.929392810034602,4,True.
NY,176,788,784-5256,yes,no,0,9.597170334766853,1,6.051888274934004,7.5653515279041885,3,8.202438983312124,2.107694317160468,200,5.845629849036751,5.675618742126078,7,7.124352241978087,5,True.
LA,86,766,120-3574,no,yes,400,8.28445052146621,5,6.927629539194115,6.283953539681586,3,6.035704139636785,4.40195796296945,150,5.567321492344662,3.9754744018657,6,4.946277014885997,5,True.
VA,162,866,280-3502,yes,no,0,4.034886371101552,6,1.197537943514308,3.350960773127548,0,4.9708346363160985,5.954435000701926,50,7.139600114867284,4.884715138003465,3,1.6270983141576854,8,True.
IL,101,737,132-4467,yes,yes,200,6.740864639800707,4,5.639796037057502,5.6110713791329365,5,3.804590495801802,5.083805108336926,200,6.582944838223449,4.66322838095341,8,0.3172985144344356,6,True.
WA,26,876,745-7632,no,no,0,8.565802241879261,5,6.816203282978471,6.762451125263139,4,6.256830906385808,4.680851739489478,150,5.968793430916433,5.36478786779008,5,4.8160314518283736,5,True.
MD,134,776,438-2228,yes,yes,0,9.105028925027431,4,7.36259306493443,6.1767925652688245,2,7.016987799455901,2.6836826985261717,200,8.296428328282618,5.071008770700087,3,1.463975754049175,9,True.
MD,95,776,977-7929,yes,no,0,12.060535608760432,2,7.121758657066135,8.809285966982312,0,8.277454894689809,5.193884624663325,150,4.942695771783768,3.601012009783749,8,9.765036492634096,1,True.
KY,123,758,374-6067,yes,yes,400,7.769242441503167,3,7.359222420522393,2.2899921099325904,6,6.200861931702082,5.856137634095488,100,4.284946554393335,5.999613285307701,6,5.373658946205265,3,True.
WY,184,878,493-1022,yes,yes,200,8.056710311691809,3,7.82094647340525,4.796317591077699,7,4.173789055780426,5.744380853055466,100,6.429457111671469,5.052492803412385,6,2.04041939995774,6,True.
ID,79,736,694-1460,yes,yes,200,12.087906848070505,4,9.11259060384663,6.593500863788036,6,7.340174541807808,5.169107974063263,150,5.831028679350788,5.065650705346514,8,5.5377331509490535,2,True.
NY,46,788,239-1311,no,no,0,10.6211453623672,2,6.907825468390236,8.916203515120472,0,8.58425940349825,3.758746814456446,250,5.757643412220746,5.989201561821358,5,9.36660827755756,3,True.
WI,133,877,363-3609,yes,no,0,7.575571162256137,5,7.722124908221306,3.5726400055563627,7,6.307309165480145,5.367444595733864,100,5.67309429365614,5.377821269712548,2,5.693675238550667,4,True.
HI,78,727,790-8881,yes,yes,300,4.273816947986739,5,4.558833085381274,3.420463816684707,5,3.885568214637496,6.041607819155995,50,5.868127787936175,3.5224656370239256,3,2.745162785524469,7,True.
OH,122,797,883-7084,yes,no,0,11.865043035533835,5,7.336194801855834,5.371347079518092,5,8.74042420428002,7.27328815985614,100,4.532453129389138,6.956136569192777,7,9.103055464365887,0,True.
FL,183,707,402-5746,yes,no,0,9.438311234537888,6,8.507570298628659,4.87989137548153,10,5.580655318873189,6.237382155463331,150,6.877130682742679,4.1496464116844525,5,2.758527941008836,4,True.
NH,97,787,649-9499,yes,yes,400,9.30373796029284,4,7.508047668489583,4.786463611680834,3,7.370479681917528,3.58184921577356,100,6.10587971369133,4.112203934180762,5,5.4271548593653405,4,True.
OH,83,797,502-5296,no,yes,300,11.797944253500408,2,9.32234237292557,8.158438165669356,1,9.551730680114108,2.5042675833559374,250,5.4021639530472445,3.9317531883386776,5,9.53314290711071,3,True.
SC,78,836,556-1222,no,no,0,7.860990119468447,5,6.301123397160746,7.166451243362153,1,5.89703067750531,1.985019933991972,150,6.906314234076002,3.009447814078642,6,3.079110530861474,6,True.
